Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Delay,Discount Binned,Discounted Revenue,Profit Margin,Order Month,Order Quarter,Order DayOfWeek,Order Year,Is Holiday Week
Standard Class,Home Office,West Palm Beach,Florida,33407,South,Office Supplies,Art,13.12,5,0.2,2.132,4,11-20%,10.496,0.1625,January,1,Saturday,2015,No
First Class,Corporate,Aurora,Colorado,80013,West,Office Supplies,Paper,177.536,4,0.2,62.1376,3,11-20%,142.0288,0.35,July,3,Friday,2014,Yes
Standard Class,Corporate,New York City,New York,10009,East,Office Supplies,Appliances,12.98,1,0.0,3.7642,4,No Discount,12.98,0.29,September,3,Saturday,2017,No
Standard Class,Consumer,San Jose,California,95123,West,Office Supplies,Binders,133.12,5,0.2,49.92,5,11-20%,106.496,0.375,May,2,Friday,2017,No
Second Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,3,No Discount,731.94,0.3,November,4,Tuesday,2016,No
First Class,Consumer,Houston,Texas,77041,Central,Office Supplies,Paper,47.952,3,0.2,16.1838,3,11-20%,38.3616,0.3375,June,2,Thursday,2015,No
Standard Class,Corporate,Miami,Florida,33142,South,Office Supplies,Binders,16.146,9,0.7,-12.9168,4,41-100%,4.8438,-0.8,November,4,Saturday,2015,No
Second Class,Corporate,Cary,North Carolina,27511,South,Office Supplies,Fasteners,8.376,3,0.2,2.7222,4,11-20%,6.7008,0.325,November,4,Tuesday,2014,No
Standard Class,Home Office,Fort Lauderdale,Florida,33311,South,Office Supplies,Binders,28.752,8,0.7,-21.0848,5,41-100%,8.6256,-0.733333333,October,4,Friday,2016,No
Standard Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Supplies,15.88,4,0.0,0.1588,7,No Discount,15.88,0.01,August,3,Tuesday,2016,No
Standard Class,Consumer,San Francisco,California,94122,West,Technology,Phones,15.992,1,0.2,-2.9985,5,11-20%,12.7936,-0.1875,October,4,Thursday,2014,No
Second Class,Corporate,West Allis,Wisconsin,53214,Central,Furniture,Bookcases,241.96,2,0.0,24.196,5,No Discount,241.96,0.1,August,3,Saturday,2016,No
Standard Class,Corporate,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,0.5,-244.323,7,41-100%,226.225,-0.54,January,1,Friday,2015,No
First Class,Home Office,San Francisco,California,94110,West,Office Supplies,Paper,59.94,3,0.0,28.1718,2,No Discount,59.94,0.47,August,3,Friday,2015,No
Standard Class,Home Office,Los Angeles,California,90036,West,Furniture,Tables,513.024,2,0.2,12.8256,7,11-20%,410.4192,0.025,August,3,Monday,2016,No
Standard Class,Corporate,Jackson,Michigan,49201,Central,Office Supplies,Appliances,207.144,3,0.1,48.3336,5,0-10%,186.4296,0.233333333,March,1,Tuesday,2016,No
Standard Class,Corporate,Lakewood,Ohio,44107,East,Office Supplies,Art,38.864,7,0.2,7.7728,5,11-20%,31.0912,0.2,November,4,Saturday,2017,No
Second Class,Consumer,Philadelphia,Pennsylvania,19134,East,Technology,Phones,280.782,3,0.4,-60.8361,2,31-40%,168.4692,-0.216666667,March,1,Thursday,2016,No
First Class,Corporate,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,51.336,3,0.2,5.7753,3,11-20%,41.0688,0.1125,April,2,Thursday,2017,No
Standard Class,Consumer,Great Falls,Montana,59405,West,Office Supplies,Storage,87.08,7,0.0,24.3824,7,No Discount,87.08,0.28,April,2,Friday,2014,No
Standard Class,Corporate,Nashville,Tennessee,37211,South,Office Supplies,Storage,142.776,1,0.2,17.847,5,11-20%,114.2208,0.125,June,2,Thursday,2017,No
Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Storage,17.94,3,0.0,3.0498,5,No Discount,17.94,0.17,April,2,Thursday,2015,No
First Class,Consumer,Pasadena,California,91104,West,Office Supplies,Storage,31.92,4,0.0,8.2992,2,No Discount,31.92,0.26,October,4,Saturday,2014,No
Standard Class,Consumer,Houston,Texas,77041,Central,Office Supplies,Art,62.376,3,0.2,7.0173,5,11-20%,49.9008,0.1125,September,3,Sunday,2016,No
Standard Class,Consumer,Denver,Colorado,80219,West,Office Supplies,Appliances,31.152,3,0.2,3.5046,4,11-20%,24.9216,0.1125,December,4,Friday,2017,No
First Class,Corporate,Anaheim,California,92804,West,Furniture,Furnishings,131.88,7,0.0,55.3896,2,No Discount,131.88,0.42,September,3,Sunday,2015,No
Second Class,Consumer,Lafayette,Louisiana,70506,South,Furniture,Tables,85.98,1,0.0,22.3548,3,No Discount,85.98,0.26,September,3,Sunday,2015,No
Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2,11-20%,104.3712,0.3375,August,3,Monday,2014,No
Standard Class,Consumer,Redmond,Oregon,97756,West,Technology,Phones,139.944,7,0.2,-31.4874,6,11-20%,111.9552,-0.225,August,3,Monday,2015,No
Standard Class,Consumer,Marlborough,Massachusetts,1752,East,Furniture,Furnishings,14.82,3,0.0,6.2244,5,No Discount,14.82,0.42,September,3,Saturday,2016,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,3.424,1,0.2,1.07,4,11-20%,2.7392,0.3125,March,1,Sunday,2014,No
Standard Class,Consumer,Jackson,Tennessee,38301,South,Office Supplies,Appliances,59.24,5,0.2,16.291,6,11-20%,47.392,0.275,December,4,Friday,2017,No
Standard Class,Home Office,Suffolk,Virginia,23434,South,Office Supplies,Supplies,35.06,2,0.0,10.518,4,No Discount,35.06,0.3,August,3,Thursday,2016,No
Standard Class,Consumer,Long Beach,New York,11561,East,Furniture,Bookcases,176.784,1,0.2,-22.098,6,11-20%,141.4272,-0.125,March,1,Thursday,2016,No
First Class,Corporate,Tempe,Arizona,85281,West,Technology,Phones,318.4,2,0.2,107.46,3,11-20%,254.72,0.3375,October,4,Thursday,2014,No
Standard Class,Home Office,Lakeland,Florida,33801,South,Furniture,Chairs,683.952,3,0.2,42.747,5,11-20%,547.1616,0.0625,October,4,Saturday,2017,No
Standard Class,Consumer,Cleveland,Ohio,44105,East,Office Supplies,Storage,24.224,2,0.2,-4.8448,4,11-20%,19.3792,-0.2,September,3,Sunday,2016,No
Standard Class,Home Office,San Diego,California,92024,West,Furniture,Furnishings,26.25,3,0.0,11.025,4,No Discount,26.25,0.42,December,4,Thursday,2017,No
Same Day,Home Office,Mentor,Ohio,44060,East,Furniture,Tables,344.22,2,0.4,-189.321,0,31-40%,206.532,-0.55,September,3,Friday,2017,No
First Class,Home Office,Salem,Oregon,97301,West,Office Supplies,Art,18.688,4,0.2,2.336,3,11-20%,14.9504,0.125,December,4,Sunday,2016,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,27.968,2,0.2,6.992,4,11-20%,22.3744,0.25,December,4,Tuesday,2014,No
Same Day,Consumer,Oceanside,California,92054,West,Furniture,Furnishings,204.6,2,0.0,53.196,0,No Discount,204.6,0.26,September,3,Tuesday,2015,No
First Class,Home Office,Newark,Delaware,19711,East,Technology,Accessories,119.85,3,0.0,52.734,3,No Discount,119.85,0.44,March,1,Saturday,2015,No
Standard Class,Home Office,Springfield,Ohio,45503,East,Office Supplies,Labels,9.216,4,0.2,3.3408,4,11-20%,7.3728,0.3625,November,4,Thursday,2016,No
First Class,Corporate,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,168.464,2,0.2,-29.4812,2,11-20%,134.7712,-0.175,July,3,Friday,2015,No
First Class,Consumer,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,24.048,9,0.2,7.2144,1,11-20%,19.2384,0.3,November,4,Thursday,2017,Yes
Standard Class,Corporate,San Diego,California,92105,West,Furniture,Furnishings,44.46,2,0.0,14.6718,4,No Discount,44.46,0.33,December,4,Saturday,2015,No
Standard Class,Consumer,Auburn,New York,13021,East,Office Supplies,Binders,15.528,3,0.2,5.823,4,11-20%,12.4224,0.375,December,4,Sunday,2016,No
Standard Class,Consumer,Detroit,Michigan,48205,Central,Office Supplies,Binders,9892.74,13,0.0,4946.37,4,No Discount,9892.74,0.5,December,4,Saturday,2016,No
Standard Class,Corporate,Plainfield,New Jersey,7060,East,Office Supplies,Storage,563.4,4,0.0,67.608,5,No Discount,563.4,0.12,November,4,Friday,2016,Yes
Standard Class,Corporate,Los Angeles,California,90036,West,Technology,Phones,258.576,2,0.2,19.3932,6,11-20%,206.8608,0.075,April,2,Monday,2015,No
Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Binders,5.84,1,0.2,1.971,5,11-20%,4.672,0.3375,April,2,Tuesday,2016,No
Standard Class,Corporate,Newark,Ohio,43055,East,Office Supplies,Storage,177.568,2,0.2,-37.7332,5,11-20%,142.0544,-0.2125,April,2,Monday,2014,No
First Class,Home Office,Seattle,Washington,98115,West,Office Supplies,Binders,2.496,1,0.2,0.9048,1,11-20%,1.9968,0.3625,July,3,Friday,2016,No
Same Day,Consumer,Charlotte,North Carolina,28205,South,Technology,Phones,627.168,4,0.2,70.5564,0,11-20%,501.7344,0.1125,May,2,Saturday,2017,No
Standard Class,Consumer,Costa Mesa,California,92627,West,Technology,Phones,258.576,2,0.2,19.3932,5,11-20%,206.8608,0.075,February,1,Sunday,2017,No
Standard Class,Consumer,Richmond,Virginia,23223,South,Furniture,Chairs,332.94,3,0.0,79.9056,4,No Discount,332.94,0.24,June,2,Friday,2015,No
Second Class,Corporate,San Francisco,California,94110,West,Office Supplies,Envelopes,8.96,2,0.0,4.3008,5,No Discount,8.96,0.48,October,4,Thursday,2017,No
Same Day,Consumer,Glendale,Arizona,85301,West,Office Supplies,Storage,42.976,4,0.2,4.2976,0,11-20%,34.3808,0.1,April,2,Thursday,2016,No
Second Class,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,17.472,3,0.2,5.0232,5,11-20%,13.9776,0.2875,September,3,Tuesday,2014,No
Standard Class,Home Office,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,45.056,8,0.2,15.2064,4,11-20%,36.0448,0.3375,June,2,Monday,2016,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19143,East,Furniture,Furnishings,36.672,3,0.2,6.4176,4,11-20%,29.3376,0.175,April,2,Monday,2017,No
Second Class,Home Office,Seattle,Washington,98115,West,Furniture,Tables,2348.82,9,0.0,399.2994,2,No Discount,2348.82,0.17,September,3,Monday,2014,No
Second Class,Consumer,Los Angeles,California,90008,West,Office Supplies,Paper,18.97,1,0.0,9.1056,2,No Discount,18.97,0.48,September,3,Thursday,2016,No
Standard Class,Home Office,San Francisco,California,94109,West,Office Supplies,Binders,14.976,9,0.2,5.4288,4,11-20%,11.9808,0.3625,March,1,Monday,2017,No
Second Class,Home Office,Houston,Texas,77095,Central,Furniture,Furnishings,103.5,5,0.6,-77.625,2,41-100%,41.4,-0.75,March,1,Saturday,2017,No
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Binders,3.168,2,0.2,0.99,5,11-20%,2.5344,0.3125,November,4,Tuesday,2015,No
Standard Class,Corporate,Auburn,New York,13021,East,Furniture,Furnishings,520.05,5,0.0,72.807,5,No Discount,520.05,0.14,May,2,Sunday,2017,No
Standard Class,Consumer,Long Beach,New York,11561,East,Office Supplies,Art,49.65,5,0.0,20.853,4,No Discount,49.65,0.42,March,1,Sunday,2014,No
Second Class,Home Office,Miami,Florida,33180,South,Technology,Phones,71.976,3,0.2,8.997,2,11-20%,57.5808,0.125,November,4,Thursday,2017,No
First Class,Home Office,Salem,Oregon,97301,West,Furniture,Tables,377.45,5,0.5,-264.215,3,41-100%,188.725,-0.7,December,4,Sunday,2016,No
Same Day,Consumer,Bolingbrook,Illinois,60440,Central,Office Supplies,Supplies,31.68,4,0.2,2.772,0,11-20%,25.344,0.0875,August,3,Sunday,2015,No
Second Class,Home Office,Glendale,Arizona,85301,West,Office Supplies,Paper,93.024,3,0.2,33.7212,2,11-20%,74.4192,0.3625,August,3,Sunday,2014,No
Standard Class,Corporate,Chicago,Illinois,60623,Central,Office Supplies,Paper,5.184,1,0.2,1.8144,4,11-20%,4.1472,0.35,February,1,Tuesday,2016,No
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Art,5.76,2,0.0,1.6704,7,No Discount,5.76,0.29,August,3,Monday,2016,No
First Class,Home Office,San Francisco,California,94122,West,Office Supplies,Art,7.04,4,0.0,2.0416,3,No Discount,7.04,0.29,June,2,Tuesday,2016,No
Standard Class,Corporate,Woodstock,Illinois,60098,Central,Furniture,Chairs,845.488,8,0.3,-12.0784,4,21-30%,591.8416,-0.014285714,December,4,Tuesday,2016,No
Second Class,Consumer,Quincy,Massachusetts,2169,East,Furniture,Tables,244.615,1,0.3,20.967,5,21-30%,171.2305,0.085714286,August,3,Saturday,2016,No
Standard Class,Home Office,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,4,31-40%,362.031456,-0.088235294,December,4,Sunday,2015,No
First Class,Consumer,Seattle,Washington,98103,West,Office Supplies,Paper,73.68,6,0.0,34.6296,3,No Discount,73.68,0.47,November,4,Thursday,2017,No
Standard Class,Home Office,Riverside,California,92503,West,Office Supplies,Binders,51.184,7,0.2,19.194,5,11-20%,40.9472,0.375,March,1,Sunday,2016,No
Standard Class,Corporate,Bristol,Connecticut,6010,East,Office Supplies,Binders,3.81,1,0.0,1.8288,5,No Discount,3.81,0.48,July,3,Saturday,2014,No
First Class,Consumer,Clinton,Maryland,20735,East,Furniture,Furnishings,10.56,6,0.0,4.6464,1,No Discount,10.56,0.44,February,1,Sunday,2016,No
Standard Class,Consumer,Dallas,Texas,75217,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,4,41-100%,0.3576,-1.7,October,4,Friday,2014,No
First Class,Consumer,Lafayette,Louisiana,70506,South,Furniture,Tables,1504.52,4,0.0,346.0396,1,No Discount,1504.52,0.23,October,4,Friday,2017,No
Standard Class,Corporate,Arlington,Texas,76017,Central,Office Supplies,Binders,8.272,4,0.8,-13.6488,6,41-100%,1.6544,-1.65,June,2,Saturday,2016,No
Second Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,467.46,9,0.0,191.6586,3,No Discount,467.46,0.41,November,4,Thursday,2016,No
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Binders,10.896,3,0.2,3.9498,2,11-20%,8.7168,0.3625,March,1,Tuesday,2017,No
Second Class,Consumer,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,380.058,3,0.3,-21.7176,5,21-30%,266.0406,-0.057142857,November,4,Monday,2016,No
Standard Class,Home Office,Mesa,Arizona,85204,West,Office Supplies,Paper,44.784,1,0.2,16.2342,5,11-20%,35.8272,0.3625,October,4,Friday,2017,No
First Class,Consumer,Jackson,Mississippi,39212,South,Office Supplies,Labels,14.62,2,0.0,6.8714,3,No Discount,14.62,0.47,July,3,Saturday,2014,No
Standard Class,Corporate,Jacksonville,Florida,32216,South,Technology,Phones,43.6,5,0.2,4.36,5,11-20%,34.88,0.1,May,2,Saturday,2016,No
Standard Class,Corporate,Seattle,Washington,98105,West,Office Supplies,Binders,21.36,5,0.2,7.209,4,11-20%,17.088,0.3375,February,1,Saturday,2014,No
First Class,Corporate,San Francisco,California,94122,West,Furniture,Bookcases,1552.831,7,0.15,200.9546,2,11-20%,1319.90635,0.129411765,August,3,Monday,2015,No
Standard Class,Corporate,New York City,New York,10011,East,Office Supplies,Appliances,8.39,1,0.0,2.0975,6,No Discount,8.39,0.25,September,3,Sunday,2015,No
Second Class,Home Office,San Jose,California,95123,West,Furniture,Furnishings,76.14,3,0.0,26.649,2,No Discount,76.14,0.35,April,2,Saturday,2014,No
Standard Class,Corporate,Murfreesboro,Tennessee,37130,South,Office Supplies,Binders,6.336,4,0.7,-4.6464,7,41-100%,1.9008,-0.733333333,September,3,Friday,2015,No
Standard Class,Consumer,San Francisco,California,94122,West,Office Supplies,Art,5.56,2,0.0,2.224,4,No Discount,5.56,0.4,April,2,Friday,2015,No
Standard Class,Consumer,Huntsville,Texas,77340,Central,Office Supplies,Binders,6.47,5,0.8,-9.705,4,41-100%,1.294,-1.5,January,1,Sunday,2017,Yes
Standard Class,Home Office,Saint Peters,Missouri,63376,Central,Furniture,Tables,697.16,4,0.0,146.4036,4,No Discount,697.16,0.21,March,1,Sunday,2016,No
Same Day,Consumer,Utica,New York,13501,East,Technology,Phones,119.94,6,0.0,5.997,0,No Discount,119.94,0.05,November,4,Thursday,2017,No
Standard Class,Consumer,San Francisco,California,94122,West,Office Supplies,Art,6.57,3,0.0,1.7739,5,No Discount,6.57,0.27,September,3,Saturday,2017,No
Second Class,Consumer,Columbia,Missouri,65203,Central,Office Supplies,Storage,64.96,2,0.0,2.5984,4,No Discount,64.96,0.04,February,1,Tuesday,2014,No
Same Day,Consumer,Anaheim,California,92804,West,Office Supplies,Appliances,83.42,2,0.0,24.1918,0,No Discount,83.42,0.29,December,4,Sunday,2016,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19140,East,Office Supplies,Paper,18.176,4,0.2,5.9072,4,11-20%,14.5408,0.325,October,4,Friday,2017,No
Second Class,Corporate,Lowell,Massachusetts,1852,East,Office Supplies,Paper,105.52,4,0.0,48.5392,3,No Discount,105.52,0.46,June,2,Monday,2016,No
First Class,Consumer,Fresno,California,93727,West,Office Supplies,Appliances,176.04,4,0.0,45.7704,1,No Discount,176.04,0.26,March,1,Saturday,2017,No
Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Fasteners,13.96,4,0.0,6.4216,7,No Discount,13.96,0.46,December,4,Thursday,2017,No
Standard Class,Consumer,Parma,Ohio,44134,East,Office Supplies,Paper,31.104,6,0.2,10.8864,7,11-20%,24.8832,0.35,June,2,Tuesday,2017,No
Standard Class,Corporate,Dallas,Texas,75217,Central,Technology,Phones,329.584,2,0.2,37.0782,6,11-20%,263.6672,0.1125,September,3,Tuesday,2016,No
Standard Class,Home Office,Houston,Texas,77041,Central,Office Supplies,Envelopes,20.936,1,0.2,7.0659,4,11-20%,16.7488,0.3375,July,3,Monday,2016,No
First Class,Consumer,Scottsdale,Arizona,85254,West,Office Supplies,Binders,4.401,3,0.7,-3.5208,3,41-100%,1.3203,-0.8,November,4,Friday,2015,No
Second Class,Consumer,Chicago,Illinois,60610,Central,Furniture,Chairs,383.607,9,0.3,-5.4801,5,21-30%,268.5249,-0.014285714,July,3,Sunday,2015,No
Standard Class,Corporate,Los Angeles,California,90004,West,Office Supplies,Paper,37.52,4,0.0,18.0096,5,No Discount,37.52,0.48,May,2,Tuesday,2017,No
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,405.64,4,0.0,12.1692,4,No Discount,405.64,0.03,October,4,Friday,2014,No
Second Class,Corporate,La Porte,Indiana,46350,Central,Office Supplies,Envelopes,287.52,8,0.0,129.384,3,No Discount,287.52,0.45,November,4,Saturday,2016,No
Standard Class,Corporate,Dallas,Texas,75220,Central,Technology,Phones,267.96,5,0.2,16.7475,6,11-20%,214.368,0.0625,November,4,Friday,2014,No
First Class,Corporate,Colorado Springs,Colorado,80906,West,Furniture,Chairs,230.352,3,0.2,20.1558,2,11-20%,184.2816,0.0875,December,4,Friday,2014,No
Standard Class,Corporate,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976,6,31-40%,650.532064,-0.235294118,September,3,Tuesday,2016,No
Standard Class,Consumer,Kenosha,Wisconsin,53142,Central,Furniture,Furnishings,373.08,6,0.0,82.0776,4,No Discount,373.08,0.22,March,1,Sunday,2015,No
Standard Class,Consumer,New York City,New York,10011,East,Office Supplies,Envelopes,16.52,4,0.0,7.5992,6,No Discount,16.52,0.46,January,1,Friday,2016,No
Standard Class,Corporate,Odessa,Texas,79762,Central,Office Supplies,Appliances,13.762,1,0.8,-24.7716,6,41-100%,2.7524,-1.8,November,4,Friday,2017,Yes
Second Class,Consumer,Houston,Texas,77095,Central,Furniture,Furnishings,23.976,3,0.6,-14.3856,2,41-100%,9.5904,-0.6,December,4,Saturday,2014,No
Standard Class,Corporate,San Antonio,Texas,78207,Central,Technology,Phones,344.704,2,0.2,38.7792,5,11-20%,275.7632,0.1125,November,4,Monday,2015,No
Second Class,Corporate,San Francisco,California,94109,West,Office Supplies,Storage,67.78,2,0.0,16.945,4,No Discount,67.78,0.25,March,1,Monday,2017,No
Second Class,Consumer,Seattle,Washington,98115,West,Furniture,Bookcases,704.9,5,0.0,56.392,2,No Discount,704.9,0.08,July,3,Saturday,2015,No
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,20.7,2,0.0,9.936,5,No Discount,20.7,0.48,June,2,Friday,2016,No
Standard Class,Corporate,Virginia Beach,Virginia,23464,South,Furniture,Furnishings,177.68,2,0.0,46.1968,6,No Discount,177.68,0.26,April,2,Wednesday,2014,No
Standard Class,Consumer,Marietta,Georgia,30062,South,Office Supplies,Binders,5.64,3,0.0,2.7072,4,No Discount,5.64,0.48,August,3,Thursday,2015,No
Standard Class,Consumer,Newport News,Virginia,23602,South,Office Supplies,Storage,16.91,1,0.0,4.5657,4,No Discount,16.91,0.27,May,2,Thursday,2017,No
Standard Class,Consumer,Jackson,Michigan,49201,Central,Technology,Phones,10.9,1,0.0,3.052,4,No Discount,10.9,0.28,December,4,Friday,2016,No
Second Class,Corporate,Port Arthur,Texas,77642,Central,Technology,Copiers,439.992,1,0.2,164.997,5,11-20%,351.9936,0.375,November,4,Saturday,2015,No
Same Day,Consumer,New York City,New York,10035,East,Furniture,Furnishings,61.12,4,0.0,20.7808,0,No Discount,61.12,0.34,June,2,Saturday,2016,No
Standard Class,Consumer,New York City,New York,10009,East,Furniture,Chairs,488.646,3,0.1,86.8704,6,0-10%,439.7814,0.177777778,September,3,Monday,2017,No
Standard Class,Consumer,New York City,New York,10035,East,Office Supplies,Paper,23.66,7,0.0,10.8836,4,No Discount,23.66,0.46,November,4,Monday,2015,Yes
Same Day,Consumer,Glendale,Arizona,85301,West,Office Supplies,Binders,9.702,3,0.7,-7.1148,0,41-100%,2.9106,-0.733333333,March,1,Tuesday,2016,No
Standard Class,Corporate,Long Beach,New York,11561,East,Office Supplies,Binders,149.544,9,0.2,50.4711,5,11-20%,119.6352,0.3375,June,2,Friday,2014,No
Standard Class,Corporate,Houston,Texas,77095,Central,Technology,Phones,122.92,7,0.2,46.095,7,11-20%,98.336,0.375,November,4,Sunday,2016,No
First Class,Consumer,Fresno,California,93727,West,Office Supplies,Art,16.02,9,0.0,4.4856,1,No Discount,16.02,0.28,March,1,Saturday,2017,No
Standard Class,Home Office,Park Ridge,Illinois,60068,Central,Technology,Phones,286.4,1,0.2,25.06,5,11-20%,229.12,0.0875,May,2,Saturday,2016,No
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,19.44,3,0.0,9.3312,7,No Discount,19.44,0.48,November,4,Tuesday,2014,No
Standard Class,Consumer,Lawrence,Massachusetts,1841,East,Office Supplies,Labels,122.12,4,0.0,56.1752,4,No Discount,122.12,0.46,December,4,Friday,2016,No
First Class,Consumer,Harlingen,Texas,78550,Central,Office Supplies,Art,145.544,7,0.2,16.3737,3,11-20%,116.4352,0.1125,March,1,Monday,2016,No
Standard Class,Consumer,Columbia,South Carolina,29203,South,Office Supplies,Storage,887.84,8,0.0,17.7568,5,No Discount,887.84,0.02,September,3,Monday,2015,No
Standard Class,Corporate,Grapevine,Texas,76051,Central,Office Supplies,Fasteners,8.04,5,0.2,2.9145,4,11-20%,6.432,0.3625,April,2,Friday,2016,No
Second Class,Consumer,Tampa,Florida,33614,South,Office Supplies,Storage,424.272,2,0.2,-10.6068,4,11-20%,339.4176,-0.025,December,4,Tuesday,2014,No
Standard Class,Home Office,Manteca,California,95336,West,Office Supplies,Paper,314.55,3,0.0,150.984,6,No Discount,314.55,0.48,March,1,Monday,2017,No
Standard Class,Corporate,New York City,New York,10035,East,Office Supplies,Paper,37.0,5,0.0,16.65,5,No Discount,37.0,0.45,November,4,Saturday,2015,No
Standard Class,Home Office,New York City,New York,10024,East,Furniture,Chairs,135.882,1,0.1,24.1568,5,0-10%,122.2938,0.177777778,November,4,Tuesday,2014,No
Standard Class,Corporate,Texarkana,Arkansas,71854,South,Furniture,Chairs,605.34,6,0.0,145.2816,4,No Discount,605.34,0.24,October,4,Saturday,2014,No
Standard Class,Home Office,Trenton,Michigan,48183,Central,Technology,Copiers,549.99,1,0.0,274.995,4,No Discount,549.99,0.5,August,3,Friday,2014,No
Standard Class,Consumer,Chicago,Illinois,60623,Central,Office Supplies,Storage,24.816,2,0.2,1.551,4,11-20%,19.8528,0.0625,December,4,Monday,2015,No
Standard Class,Consumer,West Jordan,Utah,84084,West,Office Supplies,Paper,92.94,3,0.0,41.823,6,No Discount,92.94,0.45,November,4,Sunday,2015,No
Second Class,Home Office,Troy,New York,12180,East,Office Supplies,Storage,31.02,2,0.0,8.0652,4,No Discount,31.02,0.26,April,2,Monday,2016,No
Standard Class,Consumer,Houston,Texas,77041,Central,Office Supplies,Paper,89.568,2,0.2,32.4684,5,11-20%,71.6544,0.3625,March,1,Saturday,2017,No
Standard Class,Consumer,New York City,New York,10009,East,Office Supplies,Paper,13.48,2,0.0,6.74,4,No Discount,13.48,0.5,March,1,Tuesday,2016,No
Standard Class,Corporate,Oak Park,Michigan,48237,Central,Furniture,Furnishings,273.96,2,0.0,71.2296,4,No Discount,273.96,0.26,April,2,Saturday,2017,No
Standard Class,Consumer,Chesapeake,Virginia,23320,South,Office Supplies,Fasteners,45.0,9,0.0,21.6,5,No Discount,45.0,0.48,September,3,Monday,2014,No
Second Class,Home Office,New York City,New York,10011,East,Technology,Phones,160.93,7,0.0,3.2186,3,No Discount,160.93,0.02,October,4,Thursday,2017,No
First Class,Consumer,San Francisco,California,94122,West,Office Supplies,Labels,26.01,9,0.0,12.2247,1,No Discount,26.01,0.47,January,1,Saturday,2016,No
Standard Class,Consumer,Round Rock,Texas,78664,Central,Furniture,Bookcases,78.8528,2,0.32,-11.596,4,31-40%,53.619904,-0.147058824,December,4,Thursday,2017,No
Second Class,Corporate,Mcallen,Texas,78501,Central,Furniture,Chairs,56.686,1,0.3,-20.245,4,21-30%,39.6802,-0.357142857,April,2,Saturday,2015,No
Standard Class,Consumer,Toledo,Ohio,43615,East,Technology,Phones,1502.376,4,0.4,-250.396,5,31-40%,901.4256,-0.166666667,November,4,Monday,2014,No
Standard Class,Consumer,Bloomington,Illinois,61701,Central,Office Supplies,Envelopes,12.224,2,0.2,4.4312,6,11-20%,9.7792,0.3625,December,4,Saturday,2015,No
Standard Class,Corporate,Los Angeles,California,90032,West,Furniture,Furnishings,106.68,6,0.0,33.0708,6,No Discount,106.68,0.31,September,3,Thursday,2015,No
Standard Class,Consumer,Washington,District of Columbia,20016,East,Office Supplies,Paper,12.7,2,0.0,5.842,6,No Discount,12.7,0.46,May,2,Thursday,2016,No
First Class,Home Office,San Francisco,California,94122,West,Office Supplies,Binders,13.216,4,0.2,4.4604,2,11-20%,10.5728,0.3375,November,4,Thursday,2016,No
Second Class,Consumer,Pleasant Grove,Utah,84062,West,Office Supplies,Binders,13.184,1,0.2,4.7792,5,11-20%,10.5472,0.3625,August,3,Monday,2014,No
Second Class,Consumer,Lafayette,Louisiana,70506,South,Furniture,Furnishings,15.4,5,0.0,7.392,4,No Discount,15.4,0.48,August,3,Sunday,2017,No
Second Class,Consumer,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,15.008,2,0.2,1.5008,2,11-20%,12.0064,0.1,March,1,Monday,2017,No
First Class,Home Office,Detroit,Michigan,48227,Central,Office Supplies,Art,15.92,4,0.0,5.4128,1,No Discount,15.92,0.34,June,2,Monday,2017,No
